t,phase,target_deg,actual_low_deg,actual_high_deg,err_low_deg,err_high_deg
0.0,settle,-90.0,-90.0007,-89.9999,0.0007,0.0001
0.0083,settle,-90.0,-90.0017,-89.9998,0.0017,0.0002
0.0167,settle,-90.0,-90.0026,-89.9997,0.0026,0.0003
0.025,settle,-90.0,-90.0031,-89.9996,0.0031,0.0004
0.0333,settle,-90.0,-90.003,-89.9996,0.003,0.0004
0.0417,settle,-90.0,-90.0025,-89.9995,0.0025,0.0005
0.05,settle,-90.0,-90.0015,-89.9994,0.0014,0.0006
0.0583,settle,-90.0,-90.0,-89.9993,0.0,0.0007
0.0667,settle,-90.0,-89.9981,-89.9993,0.0019,0.0007
0.075,settle,-90.0,-89.9959,-89.9993,0.0041,0.0007
0.0833,settle,-90.0,-89.9935,-89.9993,0.0065,0.0007
0.0917,settle,-90.0,-89.9908,-89.9993,0.0092,0.0007
0.1,settle,-90.0,-89.988,-89.9993,0.012,0.0007
0.1083,settle,-90.0,-89.985,-89.9993,0.015,0.0007
0.1167,settle,-90.0,-89.982,-89.9993,0.018,0.0007
0.125,settle,-90.0,-89.9789,-89.9993,0.0211,0.0007
0.1333,settle,-90.0,-89.9758,-89.9993,0.0242,0.0007
0.1417,settle,-90.0,-89.9727,-89.9993,0.0273,0.0007
0.15,settle,-90.0,-89.9697,-89.9993,0.0303,0.0007
0.1583,settle,-90.0,-89.9667,-89.9993,0.0333,0.0007
0.1667,settle,-90.0,-89.9638,-89.9993,0.0362,0.0007
0.175,settle,-90.0,-89.961,-89.9993,0.039,0.0007
0.1833,settle,-90.0,-89.9583,-89.9993,0.0417,0.0007
0.1917,settle,-90.0,-89.9557,-89.9993,0.0443,0.0007
0.2,settle,-90.0,-89.9533,-89.9993,0.0467,0.0007
0.2083,settle,-90.0,-89.951,-89.9993,0.049,0.0007
0.2167,settle,-90.0,-89.9489,-89.9993,0.0511,0.0007
0.225,settle,-90.0,-89.9469,-89.9993,0.0531,0.0007
0.2333,settle,-90.0,-89.9451,-89.9993,0.0549,0.0007
0.2417,settle,-90.0,-89.9434,-89.9993,0.0566,0.0007
0.25,settle,-90.0,-89.942,-89.9993,0.058,0.0007
0.2583,settle,-90.0,-89.9406,-89.9993,0.0594,0.0007
0.2667,settle,-90.0,-89.9394,-89.9993,0.0606,0.0007
0.275,settle,-90.0,-89.9383,-89.9993,0.0617,0.0007
0.2833,settle,-90.0,-89.9374,-89.9993,0.0626,0.0007
